projects,methods,contributors,stars,snapshot
hadoop,70081,592,14500,4c5cd7
elasticsearch,62190,1932,68400,92be38
flink,38081,908,16764,261e72
lucene-solr,37133,234,4400,b457c2
presto,36715,734,15700,bb20eb
docx4j,36514,37,1620,36c378
hbase,36274,463,5200,3bd542
intellij-community,35950,1035,16800,cdf2ef
weka,35639,2,323,a22631
hazelcast,35265,340,6000,a59ad4
spring-framework,26634,544,43641,1984cf
hibernate-orm,24800,420,4678,2c12ca
eclipseJdt,22124,133,146,475591
guava,20757,264,41775,e35207
sonarqube,20627,137,5937,6b806e
jclouds,20358,231,384,7af4d8
wildfly,19665,343,2593,f21f5d
netty,16908,526,27185,662e0b
cassandra,15953,447,8600,7cdad3
argouml,12755,4,238,fcbe6c
jetty,10645,159,3160,fc5dd8
voldemort,10601,65,2475,a7dbde
spring-boot,10374,828,56378,199cea
wicket,10058,83,570,e3f370
ant,9781,58,303,1ce1cc
jgit,9548,140,983,855842
mongo-java-driver,9467,151,2422,8ab109
pmd,8992,229,3482,d115ca
xerces2-j,8153,3,38,cf0c51
RxJava,8145,278,44922,880eed
openmrs-core,6066,371,1017,c5928a
javaparser,5862,157,3771,8f25c4
hibernate-search,5345,58,390,5b7780
titan,4590,34,5135,ee226e
facebook-android-sdk,3759,124,6100,fb1b91
checkstyle,3340,287,6115,164a75
commons-lang,2948,160,2138,f69235
lombok,2684,114,10391,4fdcdd
atmosphere,2659,111,3524,fadfb0
jna,2636,143,6655,b8443b
Essentials,2390,215,1086,d36d80
junit5,2085,167,4691,be2aa2
hector,1958,71,648,a302e6
okhttp,1953,236,40428,5224f3
mockito,1498,21,12043,77562
cucumber-jvm,1146,226,2291,b57b92
commons-io,1145,76,787,11f0ab
vraptor4,926,48,343,593ce9
junit4,874,151,8160,50a285
